Seq,Stamp,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,C1_Roll,C2_Pitch,C3_Throttle
3757,17:36.7,182158926,4.85,-5.01,61.57,-11.56,22.555598,88.3082755,1500,1500,1505
3797,17:36.7,182196761,6.18,-9.91,61.81,-11.56,22.555598,88.3082755,1500,1500,1504
3834,17:36.8,182236732,8.98,-16.02,61.24,-11.56,22.555598,88.3082755,1500,1500,1502
3878,17:36.8,182277944,11.37,-20.83,60.93,-11.51,22.5555994,88.3082771,1500,1500,1470
3914,17:36.9,182317768,11.79,-20.81,62.11,-11.51,22.5555994,88.3082771,1500,1500,1429
3955,17:36.9,182358890,10.12,-19.65,64.25,-11.51,22.5555994,88.3082771,1500,1500,1266
3993,17:36.9,182396807,7.19,-19.92,66.89,-11.51,22.5555994,88.3082771,1500,1500,1144
4030,17:37.0,182436679,5.83,-18.93,69.97,-11.51,22.5555994,88.3082771,1500,1500,1009
4073,17:37.0,182478409,6.06,-17.54,71.64,-11.6,22.5556019,88.3082784,1500,1500,987
4110,17:37.1,182516649,5.94,-16.65,71.76,-11.6,22.5556019,88.3082784,1500,1500,987
4153,17:37.1,182558951,4.68,-15.3,71.87,-11.6,22.5556019,88.3082784,1500,1500,987
4192,17:37.1,182596469,4.13,-13.47,72.17,-11.6,22.5556019,88.3082784,1500,1500,987
4229,17:37.2,182636738,4.71,-12.08,72.09,-11.6,22.5556019,88.3082784,1500,1500,987
4273,17:37.2,182678818,5.32,-10.9,71.63,-11.58,22.5556027,88.3082781,1500,1500,987
4312,17:37.3,182717957,5.49,-9.33,71.32,-11.58,22.5556027,88.3082781,1500,1500,987
4356,17:37.3,182759410,5.7,-7.64,71.23,-11.58,22.5556027,88.3082781,1500,1500,987
4394,17:37.3,182797275,5.53,-6.56,71.19,-11.58,22.5556027,88.3082781,1500,1500,987
4431,17:37.4,182837077,5.11,-5.86,71.01,-11.58,22.5556027,88.3082781,1500,1500,987
4474,17:37.4,182878386,4.91,-5.18,70.79,-11.36,22.5556032,88.3082773,1500,1500,987
4511,17:37.5,182917068,4.86,-5.35,70.58,-11.36,22.5556032,88.3082773,1500,1500,987
4554,17:37.5,182958948,4.25,-6.74,70.38,-11.36,22.5556032,88.3082773,1500,1500,987
4591,17:37.5,182996664,3.72,-7.93,69.93,-11.36,22.5556032,88.3082773,1500,1500,987
4629,17:37.6,183036534,2.99,-9.1,69.28,-11.36,22.5556032,88.3082773,1500,1500,987
4672,17:37.6,183078475,2.66,-9.87,68.76,-11.16,22.5556032,88.308277,1500,1500,987
4709,17:37.7,183116748,2.74,-10.31,68.43,-11.16,22.5556032,88.308277,1500,1500,987
4751,17:37.7,183158943,2.62,-10.79,68.25,-11.16,22.5556032,88.308277,1500,1500,987
4789,17:37.7,183196711,2.36,-11.48,68.27,-11.16,22.5556032,88.308277,1500,1500,987
4829,17:37.8,183236706,2.03,-12.15,68.36,-11.16,22.5556032,88.308277,1500,1500,987
4872,17:37.8,183278298,1.97,-12.33,68.39,-11.24,22.5556034,88.3082772,1500,1500,987
4909,17:37.9,183317688,2.16,-12.1,68.3,-11.24,22.5556034,88.3082772,1500,1500,987
4951,17:37.9,183358903,2.08,-11.47,68.17,-11.24,22.5556034,88.3082772,1500,1500,987
4989,17:37.9,183396795,1.75,-10.62,68.01,-11.24,22.5556034,88.3082772,1500,1500,987
5026,17:38.0,183436768,1.57,-9.72,67.78,-11.24,22.5556034,88.3082772,1500,1500,987
5069,17:38.0,183478079,1.78,-9.4,67.35,-11.77,22.5556036,88.3082774,1500,1500,987
5106,17:38.1,183517261,2.25,-9.92,66.83,-11.77,22.5556036,88.3082774,1500,1500,987
5149,17:38.1,183559008,2.3,-11.22,66.38,-11.77,22.5556036,88.3082774,1500,1500,987
5187,17:38.1,183596824,2.78,-13.41,65.96,-11.77,22.5556036,88.3082774,1500,1500,987
5224,17:38.2,183636437,3.73,-16.33,65.46,-11.77,22.5556036,88.3082774,1500,1500,987
5269,17:38.2,183678460,4.31,-18.76,64.74,-11.62,22.5556037,88.3082761,1500,1500,987
5306,17:38.3,183718072,4.66,-19.82,63.94,-11.62,22.5556037,88.3082761,1500,1500,987
5349,17:38.3,183759035,4.83,-20.08,63.53,-11.62,22.5556037,88.3082761,1500,1500,987
5389,17:38.3,183797059,5.18,-20.02,63.41,-11.62,22.5556037,88.3082761,1500,1500,987
5426,17:38.4,183836977,5.71,-19.51,63.43,-11.62,22.5556037,88.3082761,1500,1500,987
5469,17:38.4,183878464,6.3,-18.46,63.73,-11.94,22.5556039,88.3082773,1500,1500,987
5506,17:38.5,183917529,6.76,-17.4,64.27,-11.94,22.5556039,88.3082773,1500,1500,987
5547,17:38.5,183959000,7.16,-16.25,64.9,-11.94,22.5556039,88.3082773,1500,1500,987
5586,17:38.5,183996501,7.63,-14.76,65.47,-11.94,22.5556039,88.3082773,1500,1500,987
5622,17:38.6,184036797,7.83,-13.3,65.95,-11.94,22.5556039,88.3082773,1500,1500,987
5666,17:38.6,184078061,7.75,-11.87,66.47,-11.99,22.5556034,88.3082783,1500,1500,987
5706,17:38.7,184117255,7.5,-10.34,67.06,-11.99,22.5556034,88.3082783,1500,1500,987
5748,17:38.7,184158941,7.3,-8.84,67.62,-11.99,22.5556034,88.3082783,1500,1500,987
5787,17:38.7,184196693,7.21,-7.82,68.04,-11.99,22.5556034,88.3082783,1500,1500,987
5823,17:38.8,184236418,6.83,-7,68.44,-11.99,22.5556034,88.3082783,1500,1500,987
5869,17:38.8,184278393,6.21,-6.42,68.87,-11.92,22.5556025,88.3082794,1500,1500,987
5906,17:38.9,184316741,5.81,-6.04,69.26,-11.92,22.5556025,88.3082794,1500,1500,987
5949,17:38.9,184358935,5.53,-5.6,69.57,-11.92,22.5556025,88.3082794,1500,1500,987
5987,17:38.9,184396635,5.13,-5.1,69.83,-11.92,22.5556025,88.3082794,1500,1500,987
6023,17:39.0,184436708,4.66,-4.67,70.06,-11.92,22.5556025,88.3082794,1500,1500,987
6067,17:39.0,184478460,4.32,-4.19,70.24,-12.22,22.5556019,88.3082819,1500,1500,1028
6104,17:39.1,184516877,4.09,-3.57,70.33,-12.22,22.5556019,88.3082819,1500,1500,1045
6147,17:39.1,184558999,3.85,-2.89,70.29,-12.22,22.5556019,88.3082819,1500,1500,1088
6184,17:39.1,184596496,3.6,-2.35,70.14,-12.22,22.5556019,88.3082819,1500,1500,1096
6220,17:39.2,184636660,3.28,-2.08,69.9,-12.22,22.5556019,88.3082819,1500,1500,1132
6264,17:39.2,184678027,3.06,-2.12,69.62,-12.22,22.5556019,88.3082819,1500,1500,1171
6302,17:39.3,184718035,2.79,-2.55,69.34,-12.4,22.555602,88.3082839,1500,1500,1189
6344,17:39.3,184758965,2.55,-3.06,69.13,-12.4,22.555602,88.3082839,1500,1500,1209
6385,17:39.3,184797419,2.43,-3.85,68.96,-12.4,22.555602,88.3082839,1500,1500,1231
6422,17:39.4,184836803,2.58,-5.16,68.7,-12.4,22.555602,88.3082839,1500,1500,1258
6466,17:39.4,184878791,2.94,-6.73,68.36,-12.27,22.5556013,88.3082858,1500,1500,1272
6503,17:39.5,184917615,3.81,-8.05,67.78,-12.27,22.5556013,88.3082858,1500,1500,1291
6545,17:39.5,184958877,4.67,-7.55,67.26,-12.27,22.5556013,88.3082858,1500,1500,1299
6580,17:39.5,184996724,3.91,-5.54,67,-12.27,22.5556013,88.3082858,1500,1500,1302
6614,17:39.6,185036758,2.6,-4.21,67.15,-12.27,22.5556013,88.3082858,1500,1500,1309
6655,17:39.6,185078404,2.21,-2.45,67.64,-12.21,22.5556009,88.3082876,1500,1500,1322
6689,17:39.7,185116906,1.97,-0.12,68.11,-12.21,22.5556009,88.3082876,1500,1500,1331
6729,17:39.7,185158888,1.55,1.26,68.08,-12.21,22.5556009,88.3082876,1500,1500,1331
6763,17:39.7,185196221,0.55,1.26,67.96,-12.21,22.5556009,88.3082876,1500,1500,1341
6798,17:39.8,185236791,0.75,1.26,67.5,-12.21,22.5556009,88.3082876,1500,1500,1343
6839,17:39.8,185278014,1.43,0.27,66.25,-12.51,22.5556009,88.3082896,1500,1500,1344
